iter	RMSE
0	14.77219241
1	14.70909903
2	14.64364567
3	14.57472297
4	14.50797922
5	14.45653117
6	14.40249328
7	14.35175719
8	14.30345247
9	14.24238127
10	14.18130832
11	14.13842652
12	14.07027386
13	14.03007618
14	13.99263228
15	13.94053124
16	13.8947737
17	13.86029742
18	13.80610318
19	13.76591767
20	13.70996225
21	13.66591274
22	13.61719135
23	13.5818337
24	13.54878915
25	13.49813716
26	13.46860634
27	13.43820665
28	13.40176958
29	13.35806019
30	13.32834284
31	13.27832103
32	13.23167983
33	13.21029643
34	13.18132184
35	13.15211236
36	13.1381282
37	13.10278969
38	13.06416464
39	13.02697266
40	12.99834804
41	12.97716468
42	12.94447787
43	12.91529483
44	12.89101575
45	12.85466106
46	12.81960663
47	12.77967216
48	12.75040814
49	12.70716773
50	12.68527977
51	12.65131462
52	12.62921136
53	12.59954576
54	12.57384886
55	12.54578582
56	12.51576886
57	12.48043241
58	12.46130966
59	12.43737754
60	12.41944713
61	12.4094115
62	12.38965161
63	12.36415473
64	12.34722201
65	12.32475838
66	12.29811442
67	12.27767798
68	12.26260783
69	12.23863833
70	12.19793201
71	12.17605995
72	12.15909771
73	12.14005475
74	12.11734069
75	12.09282031
76	12.07777484
77	12.06217138
78	12.05123722
79	12.03493415
80	12.01703297
81	11.99479506
82	11.9785349
83	11.96589249
84	11.94602639
85	11.92030008
86	11.89864708
87	11.87624589
88	11.85948006
89	11.83739407
90	11.82236623
91	11.79276314
92	11.7809402
93	11.76070334
94	11.75137275
95	11.73662187
96	11.70619751
97	11.6828035
98	11.66505235
99	11.63651546
100	11.6160851
101	11.59891079
102	11.58489081
103	11.56823734
104	11.55003014
105	11.53213345
106	11.51348953
107	11.48643736
108	11.48187892
109	11.46298936
110	11.43437257
111	11.39966878
112	11.37433192
113	11.34598905
114	11.33808994
115	11.31968039
116	11.30657972
117	11.29024293
118	11.26998254
119	11.2598073
120	11.24307209
121	11.2281106
122	11.21396686
123	11.19614315
124	11.18437891
125	11.17126548
126	11.15244072
127	11.13940866
128	11.12740276
129	11.1087292
130	11.09001607
131	11.07934034
132	11.06833258
133	11.04501093
134	11.02133003
135	10.9973616
136	10.97830026
137	10.94995804
138	10.93857145
139	10.9117748
140	10.90147598
141	10.88616248
142	10.86733353
143	10.84387409
144	10.82271949
145	10.80361255
146	10.78151776
147	10.76462203
148	10.74516622
149	10.72386952
150	10.70240645
