iter	Passed	Remaining
0	112	112779
1	123	61545
2	132	44124
3	142	35530
4	151	30243
5	161	26744
6	170	24246
7	183	22767
8	195	21474
9	205	20364
10	215	19353
11	224	18500
12	233	17735
13	242	17076
14	252	16571
15	262	16138
16	271	15695
17	281	15341
18	290	15008
19	300	14738
20	311	14499
21	321	14295
22	330	14045
23	340	13837
24	349	13619
25	358	13424
26	367	13230
27	375	13039
28	384	12859
29	392	12706
30	401	12559
31	411	12436
32	433	12704
33	455	12931
34	466	12869
35	478	12804
36	489	12737
37	513	13003
38	523	12909
39	536	12866
40	547	12800
41	568	12970
42	579	12902
43	601	13072
44	612	13008
45	624	12942
46	635	12881
47	647	12845
48	678	13169
49	690	13114
50	705	13120
51	727	13260
52	749	13397
53	762	13357
54	776	13349
55	788	13294
56	801	13258
57	812	13204
58	826	13177
59	837	13121
60	850	13085
61	860	13023
62	871	12965
63	882	12903
64	892	12835
65	903	12789
66	913	12726
67	922	12646
68	933	12595
69	944	12544
70	953	12476
71	968	12478
72	978	12422
73	990	12390
74	1001	12349
75	1011	12293
76	1021	12245
77	1030	12185
78	1040	12132
79	1050	12076
80	1061	12040
81	1071	11999
82	1082	11954
83	1092	11917
84	1103	11875
85	1114	11845
86	1125	11808
87	1134	11760
88	1144	11712
89	1153	11667
90	1164	11635
91	1175	11598
92	1185	11558
93	1195	11517
94	1204	11476
95	1215	11441
96	1224	11403
97	1235	11374
98	1246	11340
99	1255	11301
100	1266	11271
101	1276	11237
102	1286	11204
103	1296	11166
104	1306	11135
105	1316	11105
106	1327	11079
107	1338	11053
108	1347	11015
109	1357	10982
110	1367	10948
111	1377	10921
112	1386	10885
113	1396	10855
114	1406	10825
115	1416	10797
116	1427	10771
117	1437	10746
118	1448	10722
119	1457	10688
120	1467	10659
121	1477	10631
122	1486	10599
123	1496	10571
124	1506	10542
125	1516	10517
126	1527	10498
127	1537	10472
128	1547	10448
129	1557	10424
130	1569	10412
131	1580	10390
132	1590	10366
133	1602	10355
134	1612	10330
135	1622	10309
136	1632	10286
137	1643	10267
138	1652	10238
139	1662	10215
140	1672	10188
141	1682	10163
142	1693	10148
143	1703	10125
144	1714	10108
145	1724	10086
146	1734	10067
147	1744	10041
148	1755	10025
149	1765	10004
150	1775	9983
151	1785	9961
152	1794	9933
153	1804	9913
154	1814	9889
155	1824	9870
156	1834	9847
157	1843	9825
158	1852	9800
159	1863	9782
160	1872	9759
161	1882	9737
162	1893	9721
163	1902	9697
164	1911	9675
165	1921	9653
166	1932	9639
167	1941	9616
168	1951	9595
169	1960	9573
170	1970	9552
171	1980	9531
172	1989	9510
173	1998	9489
174	2009	9472
175	2019	9454
176	2028	9434
177	2038	9413
178	2049	9398
179	2058	9378
180	2068	9359
181	2078	9342
182	2088	9325
183	2098	9308
184	2109	9293
185	2118	9270
186	2128	9252
187	2138	9238
188	2149	9222
189	2159	9206
190	2168	9185
191	2179	9170
192	2189	9156
193	2200	9141
194	2211	9127
195	2220	9109
196	2231	9095
197	2242	9082
198	2252	9067
199	2262	9049
200	2273	9037
201	2284	9024
202	2293	9006
203	2304	8991
204	2314	8976
205	2325	8963
206	2337	8953
207	2348	8943
208	2359	8930
209	2369	8914
210	2380	8900
211	2390	8885
212	2400	8871
213	2411	8857
214	2422	8845
215	2433	8831
216	2443	8818
217	2455	8806
218	2465	8791
219	2475	8775
220	2484	8759
221	2495	8744
222	2505	8729
223	2517	8719
224	2526	8703
225	2536	8685
226	2546	8670
227	2556	8654
228	2565	8638
229	2577	8628
230	2587	8613
231	2597	8598
232	2608	8585
233	2619	8573
234	2629	8559
235	2640	8546
236	2650	8533
237	2661	8519
238	2671	8507
239	2682	8495
240	2693	8483
241	2703	8467
242	2713	8451
243	2723	8437
244	2733	8423
245	2744	8412
246	2756	8404
247	2770	8402
248	2783	8394
249	2793	8380
250	2805	8370
251	2815	8356
252	2825	8342
253	2834	8325
254	2846	8315
255	2856	8301
256	2866	8286
257	2876	8274
258	2886	8257
259	2896	8244
260	2906	8230
261	2916	8214
262	2927	8203
263	2938	8193
264	2950	8183
265	2961	8173
266	2973	8162
267	2984	8152
268	2996	8143
269	3008	8135
270	3019	8121
271	3029	8109
272	3041	8099
273	3052	8086
274	3062	8074
275	3072	8059
276	3082	8044
277	3092	8032
278	3103	8020
279	3114	8007
280	3126	7999
281	3136	7986
282	3148	7977
283	3160	7967
284	3169	7951
285	3179	7937
286	3189	7924
287	3199	7910
288	3210	7897
289	3221	7886
290	3231	7873
291	3243	7863
292	3253	7851
293	3265	7840
294	3276	7831
295	3286	7816
296	3297	7805
297	3308	7794
298	3318	7780
299	3330	7770
300	3342	7762
301	3353	7751
302	3364	7739
303	3375	7728
304	3390	7726
305	3402	7717
306	3415	7709
307	3426	7699
308	3438	7690
309	3451	7682
310	3463	7673
311	3474	7662
312	3485	7650
313	3496	7638
314	3506	7625
315	3517	7613
316	3528	7602
317	3541	7595
318	3552	7584
319	3562	7570
320	3572	7557
321	3583	7546
322	3595	7535
323	3604	7521
324	3616	7512
325	3628	7502
326	3638	7488
327	3648	7475
328	3659	7463
329	3671	7453
330	3681	7440
331	3697	7438
332	3707	7426
333	3719	7416
334	3730	7404
335	3741	7393
336	3751	7380
337	3762	7368
338	3773	7356
339	3785	7347
340	3795	7335
341	3805	7322
342	3815	7307
343	3828	7299
344	3838	7287
345	3848	7274
346	3858	7261
347	3868	7248
348	3878	7235
349	3889	7223
350	3900	7211
351	3911	7201
352	3921	7186
353	3932	7175
354	3942	7163
355	3952	7150
356	3965	7142
357	3976	7130
358	3987	7119
