	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
catboost	CatBoost Regressor	10.114	158.6354	12.5743	0.2667	0.2903	0.2582	7.57
lightgbm	Light Gradient Boosting Machine	10.1133	161.7241	12.6958	0.2519	0.2928	0.2582	0.952
rf	Random Forest Regressor	10.6134	165.2226	12.8416	0.2365	0.2978	0.2732	2.732
gbr	Gradient Boosting Regressor	10.5575	165.3362	12.8372	0.2354	0.2974	0.2702	0.788
et	Extra Trees Regressor	10.3766	167.4752	12.9254	0.2268	0.2999	0.2678	2.475
xgboost	Extreme Gradient Boosting	10.4502	180.884	13.4271	0.166	0.3087	0.2663	0.491
ada	AdaBoost Regressor	11.4606	185.409	13.6084	0.1429	0.3176	0.299	0.459
dummy	Dummy Regressor	12.6323	220.7125	14.846	-0.0196	0.3458	0.3313	0.066
br	Bayesian Ridge	12.6791	227.3565	15.0516	-0.0484	0.3512	0.3314	0.143
knn	K Neighbors Regressor	12.6481	234.6143	15.2732	-0.0821	0.3511	0.3246	0.045
dt	Decision Tree Regressor	13.8709	324.5075	17.9753	-0.5004	0.4144	0.3404	0.093
omp	Orthogonal Matching Pursuit	15.4368	1228.0412	29.0378	-4.5279	0.424	0.3996	0.05
llar	Lasso Least Angle Regression	16.8784	1955.7651	38.796	-7.7231	0.4469	0.4299	0.069
lasso	Lasso Regression	24.7756	7034.0445	76.3985	-31.2246	0.5699	0.6263	0.185
huber	Huber Regressor	39.6811	9662.5499	93.5686	-43.7123	1.2773	0.9108	0.168
en	Elastic Net	28.9452	10007.3561	90.6921	-45.1572	0.6478	0.7389	0.091
ridge	Ridge Regression	26.1988	12277.3789	86.9304	-56.3622	0.612	0.6637	0.09
lr	Linear Regression	502.2529	4488614.7312	1906.7916	-20034.4662	1.8893	12.9222	0.395
par	Passive Aggressive Regressor	2391.2541	80320107.3343	7898.1652	-373166.2841	3.2772	59.4123	0.057
lar	Least Angle Regression	4705.1816	653784019.5535	13601.456	-3036370.539	2.3943	115.9701	0.077
