Fold	MAE	MSE	RMSE	R2	RMSLE	MAPE
0	11.1998	179.419	13.3947	0.2104	0.311	0.2854
1	11.0024	186.6715	13.6628	0.12	0.2981	0.2576
2	10.3594	163.1319	12.7723	0.2475	0.3108	0.2905
3	10.5833	167.2354	12.932	0.2607	0.2942	0.2686
4	9.7625	140.0626	11.8348	0.1997	0.2793	0.2602
5	10.5187	168.2859	12.9725	0.2236	0.3105	0.289
6	10.9629	170.5608	13.0599	0.2104	0.2844	0.2578
7	10.8058	175.8673	13.2615	0.3077	0.3049	0.2737
8	9.7613	142.091	11.9202	0.3289	0.2842	0.2595
9	10.5186	168.1403	12.9669	0.2032	0.2951	0.2561
Mean	10.5475	166.1466	12.8778	0.2312	0.2973	0.2698
Std	0.4631	14.1042	0.5567	0.0562	0.0113	0.0132
